LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,QUARTER,TIME,Interest_rate
USA,LTINT,TOT,PC_PA,Q,2018,2,2018-Q2,2.92
USA,LTINT,TOT,PC_PA,Q,2018,3,2018-Q3,2.926667
USA,LTINT,TOT,PC_PA,Q,2018,4,2018-Q4,3.033333
USA,LTINT,TOT,PC_PA,Q,2019,1,2019-Q1,2.653333
USA,LTINT,TOT,PC_PA,Q,2019,2,2019-Q2,2.333333
USA,LTINT,TOT,PC_PA,Q,2019,3,2019-Q3,1.796667
USA,LTINT,TOT,PC_PA,Q,2019,4,2019-Q4,1.793333
USA,LTINT,TOT,PC_PA,Q,2020,1,2020-Q1,1.376667
USA,LTINT,TOT,PC_PA,Q,2020,2,2020-Q2,0.6866667
USA,LTINT,TOT,PC_PA,Q,2020,3,2020-Q3,0.65
USA,LTINT,TOT,PC_PA,Q,2020,4,2020-Q4,0.8633333
USA,LTINT,TOT,PC_PA,Q,2021,1,2021-Q1,1.316667
USA,LTINT,TOT,PC_PA,Q,2021,2,2021-Q2,1.593333
USA,LTINT,TOT,PC_PA,Q,2021,3,2021-Q3,1.323333
USA,LTINT,TOT,PC_PA,Q,2021,4,2021-Q4,1.536667
USA,LTINT,TOT,PC_PA,Q,2022,1,2022-Q1,1.94
USA,LTINT,TOT,PC_PA,Q,2022,2,2022-Q2,2.93
USA,LTINT,TOT,PC_PA,Q,2022,3,2022-Q3,3.106667
USA,LTINT,TOT,PC_PA,Q,2022,4,2022-Q4,3.83
USA,LTINT,TOT,PC_PA,Q,2023,1,2023-Q1,3.646667
